team,temp_f,wind_speed_mph,wind_direction_deg,humidity,roof_type
ARI,73.5,4.4,255,23,retractable
ATL,60.6,3.5,335,42,open
BAL,55.5,2.0,87,60,open
BOS,48.5,12.7,204,69,open
CHC,48.0,3.6,356,86,open
CHW,39.4,5.6,50,91,open
CIN,56.6,9.4,348,80,open
CLE,41.2,6.2,8,91,open
COL,52.5,12.3,182,56,open
DET,45.0,3.9,294,92,open
HOU,66.4,4.1,81,94,retractable
KC,49.9,6.9,90,94,open
LAA,60.0,4.1,276,91,open
LAD,57.6,3.6,248,88,open
MIA,67.1,5.2,27,82,retractable
MIL,35.3,3.5,165,89,retractable
MIN,40.8,2.9,185,72,open
NYM,47.6,9.9,170,77,open
NYY,50.1,5.3,160,71,open
OAK,56.0,4.6,137,93,open
PHI,53.6,6.0,188,66,open
PIT,68.4,14.3,261,53,open
SD,61.2,4.0,183,90,open
SF,54.3,7.7,240,89,open
SEA,51.2,10.9,238,79,retractable
STL,55.5,4.9,51,75,open
TB,69.5,13.4,72,70,dome
TEX,67.4,8.1,174,78,retractable
TOR,37.4,5.4,304,87,retractable
WSH,61.9,9.0,186,37,open
