team,temp_f,wind_speed_mph,wind_direction_deg,humidity,roof_type
ARI,62.7,4.2,342,7,retractable
ATL,66.2,6.1,163,84,open
BAL,63.8,3.8,315,84,open
BOS,59.3,13.8,222,70,open
CHC,40.3,5.3,36,97,open
CHW,42.5,9.0,89,89,open
CIN,67.2,1.3,135,81,open
CLE,48.8,12.3,33,82,open
COL,46.5,9.9,278,27,open
DET,46.0,12.3,52,78,open
HOU,73.3,10.5,156,87,retractable
KC,45.1,11.1,322,94,open
LAA,62.0,4.7,155,57,open
LAD,78.3,6.9,266,36,open
MIA,73.2,9.8,90,69,retractable
MIL,37.6,10.6,69,88,retractable
MIN,34.3,8.8,38,95,open
NYM,54.1,3.9,156,92,open
NYY,58.5,4.0,232,81,open
OAK,54.7,5.5,133,58,open
PHI,60.3,2.5,170,86,open
PIT,67.2,0.9,284,89,open
SD,68.0,6.4,252,77,open
SF,56.0,3.6,349,29,open
SEA,43.1,4.9,24,78,retractable
STL,74.0,11.2,174,64,open
TB,73.6,11.2,93,75,dome
TEX,75.2,11.8,170,66,retractable
TOR,40.8,0.9,360,74,retractable
WSH,72.2,9.3,190,56,open
