team,temp_f,wind_speed_mph,wind_direction_deg,humidity,roof_type
ARI,,,,,retractable
ATL,58.6,5.2,260.0,41.0,open
BAL,39.2,4.0,333.0,51.0,open
BOS,44.2,7.4,268.0,55.0,open
CHC,42.1,9.7,171.0,65.0,open
CHW,,,,,open
CIN,46.1,2.7,66.0,27.0,open
CLE,34.2,4.6,113.0,52.0,open
COL,52.8,4.0,52.0,11.0,open
DET,45.8,6.0,321.0,25.0,open
HOU,64.0,4.1,77.0,75.0,retractable
KC,60.4,10.9,195.0,44.0,open
LAA,56.0,1.9,291.0,80.0,open
LAD,52.5,4.0,109.0,89.0,open
MIA,72.6,7.1,44.0,85.0,retractable
MIL,,,,,retractable
MIN,,,,,open
NYM,,,,,open
NYY,,,,,open
OAK,54.6,7.4,263.0,96.0,open
PHI,38.3,6.5,2.0,58.0,open
PIT,,,,,open
SD,,,,,open
SF,,,,,open
SEA,51.1,7.6,180.0,85.0,retractable
STL,56.2,5.6,151.0,60.0,open
TB,69.3,16.3,53.0,57.0,dome
TEX,,,,,retractable
TOR,32.3,5.2,223.0,78.0,retractable
WSH,41.9,4.2,344.0,38.0,open
