team,temp_f,wind_speed_mph,wind_direction_deg,humidity,roof_type,cf_direction_deg,wind_effect
ARI,61.9,2.5,90,25,retractable,0,cross
ATL,69.4,4.8,214,44,open,135,cross
BAL,71.7,13.3,324,77,open,30,cross
BOS,65.2,7.6,223,85,open,45,in
CHC,65.7,10.3,160,84,open,45,cross
CHW,65.7,9.1,340,91,open,135,in
CIN,72.9,6.7,176,65,open,100,cross
CLE,66.5,4.0,87,78,open,0,cross
COL,44.3,6.7,222,48,open,0,in
DET,66.6,9.9,193,77,open,135,cross
HOU,71.1,8.9,152,87,retractable,330,in
KC,72.0,18.0,199,73,open,45,in
LAA,58.2,3.4,143,74,open,45,cross
LAD,52.1,4.1,77,88,open,30,cross
MIA,71.4,3.5,45,64,retractable,100,cross
MIL,63.4,11.1,240,88,retractable,135,cross
MIN,49.5,4.3,321,91,open,90,cross
NYM,66.5,4.9,180,82,open,5,in
NYY,76.0,14.3,281,54,open,90,in
OAK,48.9,6.4,155,89,open,45,cross
PHI,73.9,5.2,280,62,open,5,cross
PIT,66.8,0.8,236,92,open,100,in
SD,56.1,4.1,81,87,open,0,cross
SF,50.4,10.5,287,83,open,90,in
SEA,41.6,4.8,146,70,retractable,45,cross
STL,72.6,12.5,216,72,open,45,in
TB,73.2,12.7,98,71,dome,45,cross
TEX,72.6,15.5,175,82,retractable,135,out
TOR,49.1,4.6,29,91,retractable,0,out
WSH,76.1,9.0,314,48,open,40,cross
