team,temp_f,wind_speed_mph,wind_direction_deg,humidity,roof_type
ARI,65.2,3.5,230,32,retractable
ATL,63.1,2.0,186,32,open
BAL,47.4,4.3,87,57,open
BOS,37.3,7.4,173,68,open
CHC,56.3,0.4,180,75,open
CHW,57.0,6.3,235,82,open
CIN,60.5,5.7,198,42,open
CLE,61.9,5.6,164,57,open
COL,59.2,5.6,173,24,open
DET,58.5,4.5,186,79,open
HOU,63.9,4.0,43,92,retractable
KC,63.1,11.9,214,76,open
LAA,55.2,3.3,110,86,open
LAD,51.9,3.4,8,82,open
MIA,67.2,8.1,62,65,retractable
MIL,51.0,4.4,15,83,retractable
MIN,56.4,3.4,58,38,open
NYM,43.9,8.0,162,67,open
NYY,43.6,5.8,167,66,open
OAK,48.0,4.5,183,92,open
PHI,47.3,7.9,151,57,open
PIT,57.3,6.8,197,55,open
SD,58.9,4.2,342,73,open
SF,50.3,5.4,263,87,open
SEA,51.1,4.3,133,93,retractable
STL,65.4,6.3,225,46,open
TB,69.8,17.9,87,49,dome
TEX,60.8,4.5,147,94,retractable
TOR,40.4,3.7,343,84,retractable
WSH,51.7,6.9,147,45,open
