team,temp_f,wind_speed_mph,wind_direction_deg,humidity,roof_type,cf_direction_deg,wind_effect,wind_score
ARI,70.7,5.9,227,6,retractable,0,cross,0
ATL,68.6,2.1,252,82,open,135,cross,0
BAL,71.9,7.1,131,60,open,30,cross,0
BOS,38.3,10.2,67,81,open,45,out,1
CHC,38.7,15.4,246,84,open,45,in,-2
CHW,43.1,15.5,259,82,open,135,cross,0
CIN,53.0,11.6,286,86,open,100,in,-1
CLE,48.7,16.6,272,97,open,0,cross,0
COL,43.3,2.7,185,30,open,0,in,0
DET,63.9,8.1,217,86,open,135,cross,0
HOU,69.4,10.0,333,93,retractable,330,out,1
KC,42.4,6.7,339,69,open,45,cross,0
LAA,58.3,2.0,96,68,open,45,cross,0
LAD,68.7,3.4,259,27,open,30,cross,0
MIA,74.2,9.6,94,73,retractable,100,out,1
MIL,37.3,11.7,253,86,retractable,135,cross,0
MIN,32.1,11.8,307,86,open,90,in,-1
NYM,42.1,9.7,82,91,open,5,cross,0
NYY,43.3,12.3,89,84,open,90,out,2
OAK,69.2,5.0,257,38,open,45,in,0
PHI,48.3,10.6,60,95,open,5,cross,0
PIT,77.6,7.8,183,36,open,100,cross,0
SD,64.8,3.9,239,76,open,0,cross,0
SF,59.2,5.4,358,40,open,90,cross,0
SEA,45.2,3.0,54,81,retractable,45,out,0
STL,50.8,12.5,292,74,open,45,cross,0
TB,71.4,5.4,24,81,dome,45,out,0
TEX,53.3,5.8,16,82,retractable,135,cross,0
TOR,43.1,15.1,63,85,retractable,0,cross,0
WSH,78.8,8.2,167,42,open,40,cross,0
