team,temp_f,wind_speed_mph,wind_direction_deg,humidity,roof_type
ARI,61.9,2.5,90,25,retractable
ATL,69.4,4.8,214,44,open
BAL,71.7,13.3,324,77,open
BOS,65.2,7.6,223,85,open
CHC,65.7,10.3,160,84,open
CHW,65.7,9.1,340,91,open
CIN,72.9,6.7,176,65,open
CLE,66.5,4.0,87,78,open
COL,44.3,6.7,222,48,open
DET,66.6,9.9,193,77,open
HOU,71.1,8.9,152,87,retractable
KC,72.0,18.0,199,73,open
LAA,58.2,3.4,143,74,open
LAD,52.1,4.1,77,88,open
MIA,71.4,3.5,45,64,retractable
MIL,63.4,11.1,240,88,retractable
MIN,49.5,4.3,321,91,open
NYM,66.5,4.9,180,82,open
NYY,76.0,14.3,281,54,open
OAK,48.9,6.4,155,89,open
PHI,73.9,5.2,280,62,open
PIT,66.8,0.8,236,92,open
SD,56.1,4.1,81,87,open
SF,50.4,10.5,287,83,open
SEA,41.6,4.8,146,70,retractable
STL,72.6,12.5,216,72,open
TB,73.2,12.7,98,71,dome
TEX,72.6,15.5,175,82,retractable
TOR,49.1,4.6,29,91,retractable
WSH,76.1,9.0,314,48,open
