team,temp_f,wind_speed_mph,wind_direction_deg,humidity,roof_type
ARI,59.9,3.9,13,6,retractable
ATL,71.5,2.0,27,35,open
BAL,70.6,5.5,325,52,open
BOS,48.1,2.2,114,100,open
CHC,70.8,12.3,151,63,open
CHW,60.4,10.5,218,92,open
CIN,68.4,4.8,158,42,open
CLE,56.2,3.2,135,85,open
COL,29.1,3.5,345,46,open
DET,49.9,8.4,115,91,open
HOU,70.9,8.5,174,88,retractable
KC,49.5,15.8,348,75,open
LAA,56.2,2.9,129,72,open
LAD,55.3,4.7,109,70,open
MIA,73.4,2.0,96,87,retractable
MIL,59.0,8.9,214,86,retractable
MIN,33.1,14.3,319,68,open
NYM,78.1,8.5,2,38,open
NYY,59.5,6.0,129,77,open
OAK,52.5,3.8,135,67,open
PHI,67.9,8.3,85,81,open
PIT,62.2,2.7,90,63,open
SD,56.1,3.7,107,93,open
SF,53.3,7.0,276,70,open
SEA,44.8,0.7,18,84,retractable
STL,63.9,9.2,296,86,open
TB,67.9,5.1,304,88,dome
TEX,71.9,12.8,202,76,retractable
TOR,45.3,7.5,67,100,retractable
WSH,69.5,5.9,47,58,open
