team,temp_f,wind_speed_mph,wind_direction_deg,humidity,roof_type,cf_direction_deg,wind_effect
ARI,82.3,4.3,313,10,retractable,0,cross
ATL,62.7,7.5,80,29,open,135,cross
BAL,51.1,6.8,122,27,open,30,cross
BOS,39.7,9.6,90,37,open,45,out
CHC,54.3,12.7,190,59,open,45,in
CHW,64.7,13.7,174,43,open,135,out
CIN,55.1,3.8,130,36,open,100,out
CLE,60.3,11.5,168,18,open,0,in
COL,69.9,10.1,302,13,open,0,cross
DET,43.7,6.4,162,56,open,135,out
HOU,68.6,8.8,122,68,retractable,330,in
KC,75.2,19.7,209,25,open,45,in
LAA,65.3,5.1,214,72,open,45,in
LAD,66.0,4.5,243,68,open,30,in
MIA,71.3,8.1,42,91,retractable,100,cross
MIL,65.5,15.7,194,41,retractable,135,cross
MIN,38.9,7.7,285,67,open,90,in
NYM,38.5,7.1,145,63,open,5,in
NYY,35.0,3.9,103,74,open,90,out
OAK,60.8,6.4,216,78,open,45,in
PHI,45.9,9.1,126,34,open,5,cross
PIT,61.4,8.6,143,17,open,100,out
SD,71.5,6.0,292,61,open,0,cross
SF,56.0,12.0,291,98,open,90,in
SEA,53.0,4.9,357,76,retractable,45,cross
STL,66.0,8.4,164,43,open,45,cross
TB,66.7,19.0,56,82,dome,45,out
TEX,75.3,8.5,185,36,retractable,135,cross
TOR,37.3,10.6,72,71,retractable,0,cross
WSH,47.8,4.8,112,32,open,40,cross
