team,temp_f,wind_speed_mph,wind_direction_deg,humidity,roof_type,cf_direction_deg,wind_effect,wind_score
ARI,62.7,4.2,342,7,retractable,0,out,0
ATL,66.2,6.1,163,84,open,135,out,0
BAL,63.8,3.8,315,84,open,30,cross,0
BOS,59.3,13.8,222,70,open,45,in,-2
CHC,40.3,5.3,36,97,open,45,out,0
CHW,42.5,9.0,89,89,open,135,cross,0
CIN,67.2,1.3,135,81,open,100,out,0
CLE,48.8,12.3,33,82,open,0,out,2
COL,46.5,9.9,278,27,open,0,cross,0
DET,46.0,12.3,52,78,open,135,cross,0
HOU,73.3,10.5,156,87,retractable,330,in,-1
KC,45.1,11.1,322,94,open,45,cross,0
LAA,62.0,4.7,155,57,open,45,cross,0
LAD,78.3,6.9,266,36,open,30,cross,0
MIA,73.2,9.8,90,69,retractable,100,out,1
MIL,37.6,10.6,69,88,retractable,135,cross,0
MIN,34.3,8.8,38,95,open,90,cross,0
NYM,54.1,3.9,156,92,open,5,in,0
NYY,58.5,4.0,232,81,open,90,in,0
OAK,54.7,5.5,133,58,open,45,cross,0
PHI,60.3,2.5,170,86,open,5,in,0
PIT,67.2,0.9,284,89,open,100,in,0
SD,68.0,6.4,252,77,open,0,cross,0
SF,56.0,3.6,349,29,open,90,cross,0
SEA,43.1,4.9,24,78,retractable,45,out,0
STL,74.0,11.2,174,64,open,45,cross,0
TB,73.6,11.2,93,75,dome,45,cross,0
TEX,75.2,11.8,170,66,retractable,135,out,1
TOR,40.8,0.9,360,74,retractable,0,out,0
WSH,72.2,9.3,190,56,open,40,in,-1
