team,temp_f,wind_speed_mph,wind_direction_deg,humidity,roof_type,cf_direction_deg,wind_effect,wind_score
ARI,68.7,1.5,207,17,retractable,0,in,0
ATL,65.8,2.1,283,58,open,135,in,0
BAL,73.0,4.6,29,68,open,30,out,0
BOS,47.9,4.0,56,96,open,45,out,0
CHC,61.0,3.0,347,93,open,45,cross,0
CHW,61.7,5.9,295,93,open,135,in,0
CIN,73.2,7.5,189,59,open,100,cross,0
CLE,65.4,5.5,153,88,open,0,in,0
COL,49.7,8.0,162,35,open,0,in,-1
DET,64.7,0.8,146,85,open,135,out,0
HOU,71.6,5.1,146,90,retractable,330,in,0
KC,64.4,2.9,90,60,open,45,out,0
LAA,59.4,2.7,175,87,open,45,cross,0
LAD,54.7,1.8,120,88,open,30,cross,0
MIA,73.1,5.4,45,60,retractable,100,cross,0
MIL,57.0,3.4,157,93,retractable,135,out,0
MIN,52.2,2.7,55,67,open,90,out,0
NYM,76.6,8.1,208,51,open,5,in,-1
NYY,81.4,6.1,197,44,open,90,cross,0
OAK,50.8,4.7,161,94,open,45,cross,0
PHI,78.0,5.6,209,54,open,5,in,0
PIT,71.7,6.8,221,66,open,100,cross,0
SD,56.0,1.6,34,89,open,0,out,0
SF,53.9,7.4,290,88,open,90,in,0
SEA,38.6,2.9,219,92,retractable,45,in,0
STL,64.3,7.4,180,90,open,45,in,0
TB,67.5,3.0,17,73,dome,45,out,0
TEX,73.0,13.5,187,75,retractable,135,cross,0
TOR,53.1,6.6,57,95,retractable,0,cross,0
WSH,77.9,7.4,194,43,open,40,in,0
