team,temp_f,wind_speed_mph,wind_direction_deg,humidity,roof_type
ARI,80.5,5.0,249,13,retractable
ATL,53.6,5.1,61,44,open
BAL,48.2,10.6,328,27,open
BOS,31.9,11.3,304,73,open
CHC,33.3,11.2,103,78,open
CHW,31.8,6.8,63,65,open
CIN,40.3,5.7,51,26,open
CLE,32.9,8.1,357,56,open
COL,49.2,3.8,183,23,open
DET,28.2,5.6,130,70,open
HOU,58.2,0.9,270,63,retractable
KC,63.9,11.7,132,36,open
LAA,58.0,2.8,135,94,open
LAD,58.8,3.5,105,81,open
MIA,69.8,5.6,304,93,retractable
MIL,30.1,3.8,140,70,retractable
MIN,36.7,10.6,167,71,open
NYM,38.5,11.9,306,44,open
NYY,34.2,9.8,317,50,open
OAK,57.1,4.1,158,61,open
PHI,31.9,6.3,2,56,open
PIT,31.3,3.6,22,68,open
SD,59.7,0.8,304,91,open
SF,52.8,13.5,285,89,open
SEA,42.4,4.4,66,66,retractable
STL,46.9,6.1,96,47,open
TB,64.1,16.3,44,81,dome
TEX,61.7,4.4,135,41,retractable
TOR,25.7,4.5,3,67,retractable
WSH,41.3,9.2,13,40,open
