team,temp_f,wind_speed_mph,wind_direction_deg,humidity,roof_type,cf_direction_deg,wind_effect
ARI,68.7,1.5,207,17,retractable,0,in
ATL,65.8,2.1,283,58,open,135,in
BAL,73.0,4.6,29,68,open,30,out
BOS,47.9,4.0,56,96,open,45,out
CHC,61.0,3.0,347,93,open,45,cross
CHW,61.7,5.9,295,93,open,135,in
CIN,73.2,7.5,189,59,open,100,cross
CLE,65.4,5.5,153,88,open,0,in
COL,49.7,8.0,162,35,open,0,in
DET,64.7,0.8,146,85,open,135,out
HOU,71.6,5.1,146,90,retractable,330,in
KC,64.4,2.9,90,60,open,45,out
LAA,59.4,2.7,175,87,open,45,cross
LAD,54.7,1.8,120,88,open,30,cross
MIA,73.1,5.4,45,60,retractable,100,cross
MIL,57.0,3.4,157,93,retractable,135,out
MIN,52.2,2.7,55,67,open,90,out
NYM,76.6,8.1,208,51,open,5,in
NYY,81.4,6.1,197,44,open,90,cross
OAK,50.8,4.7,161,94,open,45,cross
PHI,78.0,5.6,209,54,open,5,in
PIT,71.7,6.8,221,66,open,100,cross
SD,56.0,1.6,34,89,open,0,out
SF,53.9,7.4,290,88,open,90,in
SEA,38.6,2.9,219,92,retractable,45,in
STL,64.3,7.4,180,90,open,45,in
TB,67.5,3.0,17,73,dome,45,out
TEX,73.0,13.5,187,75,retractable,135,cross
TOR,53.1,6.6,57,95,retractable,0,cross
WSH,77.9,7.4,194,43,open,40,in
