team,temp_f,wind_speed_mph,wind_direction_deg,humidity,roof_type
ARI,83.4,5.7,59,13,retractable
ATL,56.2,8.9,321,72,open
BAL,57.1,13.7,294,67,open
BOS,55.2,6.4,216,90,open
CHC,48.8,10.1,292,60,open
CHW,47.4,6.6,282,68,open
CIN,48.7,12.4,309,53,open
CLE,38.3,16.3,279,76,open
COL,63.5,5.3,54,13,open
DET,36.3,5.4,279,77,open
HOU,61.4,6.8,8,77,retractable
KC,61.3,8.1,323,29,open
LAA,66.0,6.1,197,56,open
LAD,72.3,6.8,262,35,open
MIA,78.8,11.4,90,70,retractable
MIL,45.9,7.1,288,70,retractable
MIN,47.2,17.6,307,66,open
NYM,51.3,9.9,306,80,open
NYY,59.0,9.1,248,81,open
OAK,72.5,5.2,275,32,open
PHI,52.7,9.4,288,74,open
PIT,44.9,13.1,261,70,open
SD,68.3,4.9,240,65,open
SF,55.8,8.4,281,79,open
SEA,54.1,2.5,355,82,retractable
STL,48.0,6.0,283,56,open
TB,80.5,10.1,265,59,dome
TEX,67.9,10.3,22,35,retractable
TOR,37.3,13.8,279,75,retractable
WSH,60.1,12.1,309,65,open
