team,temp_f,wind_speed_mph,wind_direction_deg,humidity,roof_type
ARI,,,,,retractable
ATL,,,,,open
BAL,79.2,6.1,262.0,34.0,open
BOS,,,,,open
CHC,,,,,open
CHW,51.0,9.5,8.0,100.0,open
CIN,77.0,11.9,257.0,46.0,open
CLE,62.9,8.4,230.0,83.0,open
COL,56.3,6.5,149.0,12.0,open
DET,68.1,10.3,219.0,80.0,open
HOU,69.3,5.0,170.0,91.0,retractable
KC,82.0,10.5,192.0,37.0,open
LAA,66.6,8.9,225.0,63.0,open
LAD,,,,,open
MIA,,,,,retractable
MIL,50.7,5.4,48.0,100.0,retractable
MIN,,,,,open
NYM,,,,,open
NYY,81.0,12.3,155.0,42.0,open
OAK,63.0,11.5,348.0,26.0,open
PHI,,,,,open
PIT,84.0,18.1,229.0,33.0,open
SD,57.4,4.3,125.0,82.0,open
SF,69.8,15.4,8.0,15.0,open
SEA,43.1,5.9,140.0,89.0,retractable
STL,,,,,open
TB,79.5,9.7,285.0,45.0,dome
TEX,82.8,13.7,178.0,53.0,retractable
TOR,61.6,4.8,233.0,95.0,retractable
WSH,93.1,13.8,194.0,22.0,open
