team,temp_f,wind_speed_mph,wind_direction_deg,humidity,roof_type
ARI,66.9,8.8,286.0,32.0,retractable
ATL,66.4,4.3,171.0,57.0,open
BAL,71.0,4.2,212.0,50.0,open
BOS,64.0,8.1,242.0,66.0,open
CHC,68.2,10.4,205.0,70.0,open
CHW,,,,,open
CIN,,,,,open
CLE,61.2,5.4,246.0,84.0,open
COL,,,,,open
DET,,,,,open
HOU,72.8,5.6,143.0,83.0,retractable
KC,,,,,open
LAA,56.6,4.8,169.0,73.0,open
LAD,51.0,6.0,77.0,78.0,open
MIA,69.6,6.3,67.0,70.0,retractable
MIL,,,,,retractable
MIN,52.9,7.9,16.0,88.0,open
NYM,63.2,3.7,237.0,64.0,open
NYY,72.0,8.5,247.0,50.0,open
OAK,50.6,4.3,231.0,90.0,open
PHI,72.1,11.6,221.0,46.0,open
PIT,70.2,10.9,229.0,58.0,open
SD,,,,,open
SF,,,,,open
SEA,49.0,7.8,221.0,73.0,retractable
STL,72.2,8.5,198.0,72.0,open
TB,,,,,dome
TEX,72.9,15.5,185.0,82.0,retractable
TOR,,,,,retractable
WSH,70.6,7.0,186.0,50.0,open
