team,temp_f,wind_speed_mph,wind_direction_deg,humidity,roof_type,cf_direction_deg,wind_effect
ARI,80.5,5.0,249,13,retractable,0,cross
ATL,53.6,5.1,61,44,open,135,cross
BAL,48.2,10.6,328,27,open,30,cross
BOS,31.9,11.3,304,73,open,45,cross
CHC,33.3,11.2,103,78,open,45,cross
CHW,31.8,6.8,63,65,open,135,cross
CIN,40.3,5.7,51,26,open,100,cross
CLE,32.9,8.1,357,56,open,0,out
COL,49.2,3.8,183,23,open,0,in
DET,28.2,5.6,130,70,open,135,out
HOU,58.2,0.9,270,63,retractable,330,cross
KC,63.9,11.7,132,36,open,45,cross
LAA,58.0,2.8,135,94,open,45,cross
LAD,58.8,3.5,105,81,open,30,cross
MIA,69.8,5.6,304,93,retractable,100,in
MIL,30.1,3.8,140,70,retractable,135,out
MIN,36.7,10.6,167,71,open,90,cross
NYM,38.5,11.9,306,44,open,5,cross
NYY,34.2,9.8,317,50,open,90,cross
OAK,57.1,4.1,158,61,open,45,cross
PHI,31.9,6.3,2,56,open,5,out
PIT,31.3,3.6,22,68,open,100,cross
SD,59.7,0.8,304,91,open,0,cross
SF,52.8,13.5,285,89,open,90,in
SEA,42.4,4.4,66,66,retractable,45,out
STL,46.9,6.1,96,47,open,45,cross
TB,64.1,16.3,44,81,dome,45,out
TEX,61.7,4.4,135,41,retractable,135,out
TOR,25.7,4.5,3,67,retractable,0,out
WSH,41.3,9.2,13,40,open,40,out
