team,temp_f,wind_speed_mph,wind_direction_deg,humidity,roof_type,cf_direction_deg,wind_effect
ARI,86.4,5.1,247,12,retractable,0,cross
ATL,53.2,5.4,336,29,open,135,in
BAL,55.4,14.8,290,39,open,30,cross
BOS,40.3,6.1,280,89,open,45,cross
CHC,41.5,9.2,26,62,open,45,out
CHW,37.7,6.7,37,79,open,135,cross
CIN,60.2,17.4,258,23,open,100,in
CLE,47.4,11.9,293,41,open,0,cross
COL,69.5,3.2,102,6,open,0,cross
DET,39.4,14.0,347,64,open,135,in
HOU,65.0,6.0,68,63,retractable,330,cross
KC,71.4,5.8,293,21,open,45,cross
LAA,62.1,5.4,218,74,open,45,in
LAD,60.3,6.1,253,80,open,30,in
MIA,79.3,6.9,182,76,retractable,100,cross
MIL,37.7,11.2,33,76,retractable,135,cross
MIN,45.4,11.4,324,19,open,90,cross
NYM,47.0,9.3,312,74,open,5,cross
NYY,47.4,8.9,309,72,open,90,in
OAK,61.7,9.2,241,40,open,45,in
PHI,42.1,3.8,273,75,open,5,cross
PIT,51.0,11.9,269,35,open,100,in
SD,61.6,4.5,290,79,open,0,cross
SF,60.2,9.7,244,61,open,90,in
SEA,59.0,1.4,342,77,retractable,45,cross
STL,66.1,12.5,288,25,open,45,cross
TB,79.7,8.7,282,51,dome,45,cross
TEX,64.8,4.2,108,34,retractable,135,out
TOR,36.5,11.7,334,73,retractable,0,out
WSH,56.6,17.0,297,30,open,40,cross
