team,temp_f,wind_speed_mph,wind_direction_deg,humidity,roof_type
ARI,68.7,1.5,207,17,retractable
ATL,65.8,2.1,283,58,open
BAL,73.0,4.6,29,68,open
BOS,47.9,4.0,56,96,open
CHC,61.0,3.0,347,93,open
CHW,61.7,5.9,295,93,open
CIN,73.2,7.5,189,59,open
CLE,65.4,5.5,153,88,open
COL,49.7,8.0,162,35,open
DET,64.7,0.8,146,85,open
HOU,71.6,5.1,146,90,retractable
KC,64.4,2.9,90,60,open
LAA,59.4,2.7,175,87,open
LAD,54.7,1.8,120,88,open
MIA,73.1,5.4,45,60,retractable
MIL,57.0,3.4,157,93,retractable
MIN,52.2,2.7,55,67,open
NYM,76.6,8.1,208,51,open
NYY,81.4,6.1,197,44,open
OAK,50.8,4.7,161,94,open
PHI,78.0,5.6,209,54,open
PIT,71.7,6.8,221,66,open
SD,56.0,1.6,34,89,open
SF,53.9,7.4,290,88,open
SEA,38.6,2.9,219,92,retractable
STL,64.3,7.4,180,90,open
TB,67.5,3.0,17,73,dome
TEX,73.0,13.5,187,75,retractable
TOR,53.1,6.6,57,95,retractable
WSH,77.9,7.4,194,43,open
