team,temp_f,wind_speed_mph,wind_direction_deg,humidity,roof_type,cf_direction_deg,wind_effect
ARI,75.0,3.4,278.0,16.0,retractable,0,cross
ATL,,,,,open,135,unknown
BAL,,,,,open,30,unknown
BOS,,,,,open,45,unknown
CHC,,,,,open,45,unknown
CHW,43.1,14.5,22.0,85.0,open,135,cross
CIN,78.8,11.1,230.0,30.0,open,100,cross
CLE,,,,,open,0,unknown
COL,47.9,7.6,43.0,59.0,open,0,out
DET,66.7,11.7,225.0,53.0,open,135,cross
HOU,,,,,retractable,330,unknown
KC,69.1,5.0,297.0,53.0,open,45,cross
LAA,,,,,open,45,unknown
LAD,,,,,open,30,unknown
MIA,76.1,15.7,44.0,80.0,retractable,100,cross
MIL,,,,,retractable,135,unknown
MIN,47.6,10.6,305.0,39.0,open,90,in
NYM,38.8,4.5,153.0,92.0,open,5,in
NYY,44.5,11.7,151.0,70.0,open,90,cross
OAK,71.9,10.4,242.0,54.0,open,45,in
PHI,,,,,open,5,unknown
PIT,,,,,open,100,unknown
SD,62.0,1.8,284.0,91.0,open,0,cross
SF,,,,,open,90,unknown
SEA,,,,,retractable,45,unknown
STL,,,,,open,45,unknown
TB,,,,,dome,45,unknown
TEX,,,,,retractable,135,unknown
TOR,,,,,retractable,0,unknown
WSH,,,,,open,40,unknown
