team,temp_f,wind_speed_mph,wind_direction_deg,humidity,roof_type
ARI,86.4,5.1,247,12,retractable
ATL,53.2,5.4,336,29,open
BAL,55.4,14.8,290,39,open
BOS,40.3,6.1,280,89,open
CHC,41.5,9.2,26,62,open
CHW,37.7,6.7,37,79,open
CIN,60.2,17.4,258,23,open
CLE,47.4,11.9,293,41,open
COL,69.5,3.2,102,6,open
DET,39.4,14.0,347,64,open
HOU,65.0,6.0,68,63,retractable
KC,71.4,5.8,293,21,open
LAA,62.1,5.4,218,74,open
LAD,60.3,6.1,253,80,open
MIA,79.3,6.9,182,76,retractable
MIL,37.7,11.2,33,76,retractable
MIN,45.4,11.4,324,19,open
NYM,47.0,9.3,312,74,open
NYY,47.4,8.9,309,72,open
OAK,61.7,9.2,241,40,open
PHI,42.1,3.8,273,75,open
PIT,51.0,11.9,269,35,open
SD,61.6,4.5,290,79,open
SF,60.2,9.7,244,61,open
SEA,59.0,1.4,342,77,retractable
STL,66.1,12.5,288,25,open
TB,79.7,8.7,282,51,dome
TEX,64.8,4.2,108,34,retractable
TOR,36.5,11.7,334,73,retractable
WSH,56.6,17.0,297,30,open
