team,temp_f,wind_speed_mph,wind_direction_deg,humidity,roof_type
ARI,87.3,10.5,270,16,retractable
ATL,63.3,5.1,319,32,open
BAL,52.9,5.7,18,48,open
BOS,43.1,7.4,319,42,open
CHC,45.7,6.1,73,68,open
CHW,43.1,9.8,91,79,open
CIN,63.5,4.1,45,38,open
CLE,39.3,3.4,98,60,open
COL,51.8,7.4,139,39,open
DET,53.5,7.3,79,37,open
HOU,68.2,7.5,141,90,retractable
KC,67.6,11.5,168,76,open
LAA,61.5,7.1,246,72,open
LAD,55.0,4.0,128,86,open
MIA,76.1,12.2,43,55,retractable
MIL,42.1,3.5,145,90,retractable
MIN,46.3,10.9,134,87,open
NYM,53.5,8.6,321,35,open
NYY,49.4,7.7,330,42,open
OAK,49.7,11.8,245,90,open
PHI,63.9,11.5,323,28,open
PIT,60.0,7.2,321,31,open
SD,60.8,4.5,279,73,open
SF,49.8,8.6,231,75,open
SEA,45.0,2.0,333,92,retractable
STL,65.7,8.5,150,76,open
TB,71.2,13.2,80,63,dome
TEX,69.6,12.5,161,84,retractable
TOR,43.1,3.4,180,78,retractable
WSH,55.8,6.2,52,43,open
