team,temp_f,wind_speed_mph,wind_direction_deg,humidity,roof_type,cf_direction_deg,wind_effect
ARI,65.2,3.5,230,32,retractable,0,cross
ATL,63.1,2.0,186,32,open,135,cross
BAL,47.4,4.3,87,57,open,30,cross
BOS,37.3,7.4,173,68,open,45,cross
CHC,56.3,0.4,180,75,open,45,in
CHW,57.0,6.3,235,82,open,135,cross
CIN,60.5,5.7,198,42,open,100,cross
CLE,61.9,5.6,164,57,open,0,in
COL,59.2,5.6,173,24,open,0,in
DET,58.5,4.5,186,79,open,135,cross
HOU,63.9,4.0,43,92,retractable,330,cross
KC,63.1,11.9,214,76,open,45,in
LAA,55.2,3.3,110,86,open,45,cross
LAD,51.9,3.4,8,82,open,30,out
MIA,67.2,8.1,62,65,retractable,100,out
MIL,51.0,4.4,15,83,retractable,135,cross
MIN,56.4,3.4,58,38,open,90,out
NYM,43.9,8.0,162,67,open,5,in
NYY,43.6,5.8,167,66,open,90,cross
OAK,48.0,4.5,183,92,open,45,in
PHI,47.3,7.9,151,57,open,5,in
PIT,57.3,6.8,197,55,open,100,cross
SD,58.9,4.2,342,73,open,0,out
SF,50.3,5.4,263,87,open,90,in
SEA,51.1,4.3,133,93,retractable,45,cross
STL,65.4,6.3,225,46,open,45,in
TB,69.8,17.9,87,49,dome,45,out
TEX,60.8,4.5,147,94,retractable,135,out
TOR,40.4,3.7,343,84,retractable,0,out
WSH,51.7,6.9,147,45,open,40,cross
