team,temp_f,wind_speed_mph,wind_direction_deg,humidity,roof_type
ARI,68.7,4.1,225,10,retractable
ATL,72.2,6.0,248,45,open
BAL,61.7,10.4,109,76,open
BOS,43.4,5.9,40,93,open
CHC,42.1,15.5,284,68,open
CHW,38.9,12.7,298,69,open
CIN,53.9,14.9,296,64,open
CLE,43.8,16.0,281,81,open
COL,38.5,3.7,166,13,open
DET,43.9,13.2,282,75,open
HOU,60.5,11.2,1,86,retractable
KC,57.3,12.7,298,25,open
LAA,58.7,0.9,225,87,open
LAD,57.5,2.3,119,81,open
MIA,76.7,4.5,93,80,retractable
MIL,37.5,8.6,280,72,retractable
MIN,44.5,16.6,290,26,open
NYM,58.6,9.6,123,74,open
NYY,60.7,9.8,120,68,open
OAK,67.7,4.3,279,35,open
PHI,53.4,8.8,128,89,open
PIT,65.8,9.4,232,89,open
SD,57.8,2.6,31,88,open
SF,55.0,7.4,272,75,open
SEA,53.0,2.9,67,57,retractable
STL,44.7,4.1,276,64,open
TB,74.7,7.0,310,71,dome
TEX,51.9,3.9,24,66,retractable
TOR,42.8,10.7,303,82,retractable
WSH,69.6,11.7,125,57,open
