team,temp_f,wind_speed_mph,wind_direction_deg,humidity,roof_type,cf_direction_deg,wind_effect
ARI,68.7,4.1,225,10,retractable,0,in
ATL,72.2,6.0,248,45,open,135,cross
BAL,61.7,10.4,109,76,open,30,cross
BOS,43.4,5.9,40,93,open,45,out
CHC,42.1,15.5,284,68,open,45,cross
CHW,38.9,12.7,298,69,open,135,in
CIN,53.9,14.9,296,64,open,100,in
CLE,43.8,16.0,281,81,open,0,cross
COL,38.5,3.7,166,13,open,0,in
DET,43.9,13.2,282,75,open,135,in
HOU,60.5,11.2,1,86,retractable,330,out
KC,57.3,12.7,298,25,open,45,cross
LAA,58.7,0.9,225,87,open,45,in
LAD,57.5,2.3,119,81,open,30,cross
MIA,76.7,4.5,93,80,retractable,100,out
MIL,37.5,8.6,280,72,retractable,135,in
MIN,44.5,16.6,290,26,open,90,in
NYM,58.6,9.6,123,74,open,5,cross
NYY,60.7,9.8,120,68,open,90,out
OAK,67.7,4.3,279,35,open,45,cross
PHI,53.4,8.8,128,89,open,5,cross
PIT,65.8,9.4,232,89,open,100,cross
SD,57.8,2.6,31,88,open,0,out
SF,55.0,7.4,272,75,open,90,in
SEA,53.0,2.9,67,57,retractable,45,out
STL,44.7,4.1,276,64,open,45,cross
TB,74.7,7.0,310,71,dome,45,cross
TEX,51.9,3.9,24,66,retractable,135,cross
TOR,42.8,10.7,303,82,retractable,0,cross
WSH,69.6,11.7,125,57,open,40,cross
