team,temp_f,wind_speed_mph,wind_direction_deg,humidity,roof_type
ARI,70.7,5.9,227,6,retractable
ATL,68.6,2.1,252,82,open
BAL,71.9,7.1,131,60,open
BOS,38.3,10.2,67,81,open
CHC,38.7,15.4,246,84,open
CHW,43.1,15.5,259,82,open
CIN,53.0,11.6,286,86,open
CLE,48.7,16.6,272,97,open
COL,43.3,2.7,185,30,open
DET,63.9,8.1,217,86,open
HOU,69.4,10.0,333,93,retractable
KC,42.4,6.7,339,69,open
LAA,58.3,2.0,96,68,open
LAD,68.7,3.4,259,27,open
MIA,74.2,9.6,94,73,retractable
MIL,37.3,11.7,253,86,retractable
MIN,32.1,11.8,307,86,open
NYM,42.1,9.7,82,91,open
NYY,43.3,12.3,89,84,open
OAK,69.2,5.0,257,38,open
PHI,48.3,10.6,60,95,open
PIT,77.6,7.8,183,36,open
SD,64.8,3.9,239,76,open
SF,59.2,5.4,358,40,open
SEA,45.2,3.0,54,81,retractable
STL,50.8,12.5,292,74,open
TB,71.4,5.4,24,81,dome
TEX,53.3,5.8,16,82,retractable
TOR,43.1,15.1,63,85,retractable
WSH,78.8,8.2,167,42,open
