team,temp_f,wind_speed_mph,wind_direction_deg,humidity,roof_type,cf_direction_deg,wind_effect
ARI,66.9,8.8,286.0,32.0,retractable,0,cross
ATL,66.4,4.3,171.0,57.0,open,135,out
BAL,71.0,4.2,212.0,50.0,open,30,in
BOS,64.0,8.1,242.0,66.0,open,45,in
CHC,68.2,10.4,205.0,70.0,open,45,in
CHW,,,,,open,135,unknown
CIN,,,,,open,100,unknown
CLE,61.2,5.4,246.0,84.0,open,0,cross
COL,,,,,open,0,unknown
DET,,,,,open,135,unknown
HOU,72.8,5.6,143.0,83.0,retractable,330,in
KC,,,,,open,45,unknown
LAA,56.6,4.8,169.0,73.0,open,45,cross
LAD,51.0,6.0,77.0,78.0,open,30,cross
MIA,69.6,6.3,67.0,70.0,retractable,100,out
MIL,,,,,retractable,135,unknown
MIN,52.9,7.9,16.0,88.0,open,90,cross
NYM,63.2,3.7,237.0,64.0,open,5,cross
NYY,72.0,8.5,247.0,50.0,open,90,in
OAK,50.6,4.3,231.0,90.0,open,45,in
PHI,72.1,11.6,221.0,46.0,open,5,in
PIT,70.2,10.9,229.0,58.0,open,100,cross
SD,,,,,open,0,unknown
SF,,,,,open,90,unknown
SEA,49.0,7.8,221.0,73.0,retractable,45,in
STL,72.2,8.5,198.0,72.0,open,45,in
TB,,,,,dome,45,unknown
TEX,72.9,15.5,185.0,82.0,retractable,135,cross
TOR,,,,,retractable,0,unknown
WSH,70.6,7.0,186.0,50.0,open,40,in
