player_id,player_name,bat_hand,throw_hand
676760,ron marinaccio,R,R
681810,austin warren,R,R
669020,ryan rolison,R,L
676477,garrett whitlock,R,R
656941,kyle schwarber,L,R
621439,byron buxton,R,R
596019,francisco lindor,S,R
665487,fernando tatis jr.,R,R
607208,trea turner,R,R
670541,yordan alvarez,L,R
691406,junior caminero,R,R
682829,elly de la cruz,S,R
701350,roman anthony,L,R
547180,bryce harper,L,R
683002,gunnar henderson,L,R
624413,pete alonso,R,R
592518,manny machado,R,R
695578,james wood,L,R
673548,seiya suzuki,R,R
608369,corey seager,L,R
679529,spencer torkelson,R,R
666182,bo bichette,R,R
596115,trevor story,R,R
691718,pete crow-armstrong,L,L
680776,jarren duran,L,R
682985,riley greene,L,L
683737,michael busch,L,R
682928,cj abrams,L,R
545361,mike trout,R,R
621493,taylor ward,R,R
807712,luke keaschall,R,R
701538,jackson merrill,L,R
694671,wyatt langford,R,R
514888,jose altuve,R,R
608324,alex bregman,R,R
695657,colson montgomery,L,R
661388,william contreras,R,R
607043,brandon nimmo,L,R
673357,luis robert jr.,R,R
687263,zach neto,R,R
664023,ian happ,S,R
668930,brice turang,L,R
681481,kerry carpenter,L,R
670623,isaac paredes,R,R
542303,marcell ozuna,R,R
650402,gleyber torres,R,R
572233,christian walker,R,R
575929,willson contreras,R,R
664040,brandon lowe,L,R
666018,jonathan aranda,L,R
665833,oneil cruz,L,R
670242,matt wallner,L,R
666176,jo adell,R,R
687637,dylan beavers,L,R
808959,munetaka murakami,L,R
621020,dansby swanson,R,R
694384,nolan schanuel,L,R
593428,xander bogaerts,R,R
543760,marcus semien,R,R
593871,jorge polanco,S,R
668804,bryan reynolds,S,R
676475,alec burleson,L,L
694497,evan carter,L,R
670770,tj friedl,L,L
663538,nico hoerner,R,R
802415,chandler simpson,L,R
691026,masyn winn,R,R
678246,miguel vargas,R,R
681082,bryson stott,L,R
669394,jake burger,R,R
673962,josh jung,R,R
681297,colton cowser,L,R
592663,j.t. realmuto,R,R
592206,nick castellanos,R,R
668715,spencer steer,R,R
663886,tyler stephenson,R,R
656811,ryan o'hearn,L,L
457705,andrew mccutchen,R,R
609280,miguel andujar,R,R
630105,jake cronenworth,L,R
656716,zach mckinstry,L,R
687462,spencer horwitz,L,R
680574,matt mclain,R,R
673237,yainer diaz,R,R
621043,carlos correa,R,R
686217,sal frelick,L,R
669701,josh smith,L,R
695734,daylen lile,L,R
663616,trevor larnach,L,R
682626,francisco alvarez,R,R
664761,alec bohm,R,R
693307,dillon dingler,R,R
702332,caleb durbin,R,R
680777,ryan jeffers,R,R
656775,cedric mullins,L,L
657757,gavin sheets,L,L
668901,mark vientos,R,R
643217,andrew benintendi,L,L
666139,josh lowe,L,R
678882,ceddanne rafaela,R,R
669357,nolan gorman,L,R
681351,logan o'hoppe,R,R
608348,carson kelly,R,R
701398,sal stewart,R,R
683146,brett baty,L,R
605137,josh bell,S,R
693304,nick gonzales,R,R
665804,miguel amaya,R,R
592626,joc pederson,L,L
677800,wilyer abreu,L,L
690993,colt keith,L,R
677942,blaze alexander,R,R
543309,kyle higashioka,R,R
641584,jake fraley,L,L
691023,jordan walker,R,R
694212,samuel basallo,L,R
687363,victor scott ii,L,L
624585,jorge soler,R,R
691723,coby mayo,R,R
691785,marcelo mayer,L,R
643376,danny jansen,R,R
605170,victor caratini,S,R
805367,chase meidroth,R,R
663698,joey bart,R,R
663993,nathaniel lowe,L,R
669016,brandon marsh,L,R
686797,brooks lee,S,R
641343,jake bauers,L,L
802139,jj wetherholt,L,R
701358,cam smith,R,R
807799,masataka yoshida,L,R
665019,kody clemens,L,R
669236,jeremiah jackson,R,R
670764,taylor walls,S,R
668885,austin martin,R,R
694388,joey loperfido,L,R
660688,keibert ruiz,S,R
687401,joey ortiz,R,R
668670,jake rogers,R,R
805249,otto kemp,R,R
518595,travis d'arnaud,R,R
669003,garrett mitchell,L,R
663330,jahmai jones,R,R
663647,ke'bryan hayes,R,R
624641,edmundo sosa,R,R
650859,luis rengifo,S,R
664034,ty france,R,R
701807,carson benge,L,R
700337,edgar quero,S,R
666023,freddy fermin,R,R
620443,luis torrens,R,R
621438,tyrone taylor,R,R
663368,blake perkins,S,R
664059,sam haggerty,S,R
807713,matt shaw,R,R
663968,jake mangum,S,L
663837,matt vierling,R,R
643396,isiah kiner-falefa,R,R
696285,jacob young,R,R
664238,dylan moore,R,R
676356,jonny deluca,R,R
702222,justin crawford,L,R
680779,henry davis,R,R
691781,brady house,R,R
663743,nick fortes,R,R
810938,ben williamson,R,R
657136,connor wong,R,R
669134,luis campusano,R,R
666211,taylor trammell,L,L
655316,andruw monasterio,R,R
669326,bryce teodosio,R,L
677649,ezequiel duran,R,R
701675,nathan church,L,L
667472,dane myers,R,R
624424,michael conforto,L,R
694377,nick yorke,R,R
624428,adam frazier,L,R
666181,will benson,L,L
665750,leody taveras,S,R
666152,david hamilton,L,R
680700,richie palacios,L,R
686452,drew millas,S,R
681546,james outman,L,R
677592,everson pereira,R,R
642215,weston wilson,R,R
687093,vaughn grissom,R,R
695336,thomas saggese,R,R
624512,reese mcguire,L,R
656537,derek hill,R,R
676439,hunter feduccia,L,R
669369,bryce johnson,S,R
686894,joey wiemer,R,R
668952,ryan kreidler,R,R
663604,brandon lockridge,R,R
650968,yohel pozo,R,R
669397,nick allen,R,R
664731,p.j. higgins,R,R
672724,oswald peraza,R,R
656484,tristan gray,L,R
677956,rece hinds,R,R
668723,ryan vilade,R,R
675659,greg jones,S,R
671976,tristan peters,L,R
695257,billy cook,R,R
668974,maverick handley,R,R
664068,scott kingery,R,R
695020,tanner murray,R,R
805808,kevin mcgonigle,L,R
676724,jared young,L,R
804606,konnor griffin,R,R
694728,brice matthews,R,R
694376,shay whitcomb,R,R
687957,dustin harris,L,R
657277,logan webb,R,R
808967,yoshinobu yamamoto,R,R
519242,chris sale,L,L
693433,bryan woo,R,R
608331,max fried,L,L
607192,tyler glasnow,L,R
592332,kevin gausman,L,R
663460,kris bubic,L,L
656302,dylan cease,R,R
592662,robbie ray,L,L
669302,logan gilbert,R,R
